AnthropogenicHUC_PUptake_year,AnthropogenicHUC_PUptake_day,HUC_8,AREA_ACRES,PFOR_year,PWETL_year,PAGC_year,PAGP_year,PDEV_year,PFOR_day,PWETL_day,PAGC_day,PAGP_day,PDEV_day
0.0 kilogram,0.0 kilogram,02060010,1008982.08874 acre,0.0 kilogram,0.0 kilogram,0.0 kilogram,0.0 kilogram,0.0 kilogram,0.0 kilogram,0.0 kilogram,0.0 kilogram,0.0 kilogram,0.0 kilogram
7092079.756502027 kilogram,19430.355497265828 kilogram,02070004,1459175.67053 acre,6491754.373415064 kilogram,17676.876776310335 kilogram,5405838.904732976 kilogram,1668563.9749927397 kilogram,0.0 kilogram,17785.628420315243 kilogram,48.429799387151604 kilogram,14810.517547213632 kilogram,4571.40815066504 kilogram,0.0 kilogram
5957157.082681931 kilogram,16320.978308717618 kilogram,02070009,618243.023446 acre,1638827.151117985 kilogram,33174.537769021386 kilogram,5264933.701905121 kilogram,659048.8430077884 kilogram,0.0 kilogram,4489.937400323246 kilogram,90.88914457266134 kilogram,14424.475895630469 kilogram,1805.6132685144887 kilogram,0.0 kilogram
1914027.3269242074 kilogram,5243.910484723856 kilogram,02070010,831483.548951 acre,2294416.2706602346 kilogram,143930.79859127317 kilogram,1432675.7099393657 kilogram,337420.81839356857 kilogram,0.0 kilogram,6286.071974411601 kilogram,394.330955044584 kilogram,3925.138931340728 kilogram,924.440598338544 kilogram,0.0 kilogram
4221312.235819057 kilogram,11565.23900224399 kilogram,02080105,582426.218313 acre,2659494.948635755 kilogram,210796.23386585934 kilogram,3895427.9001517533 kilogram,115088.10180144428 kilogram,0.0 kilogram,7286.287530508918 kilogram,577.5239283996146 kilogram,10672.405205895215 kilogram,315.3098679491624 kilogram,0.0 kilogram
4968379.897276981 kilogram,13611.99971856707 kilogram,03010201,1096394.52927 acre,4888936.957594901 kilogram,372405.293937298 kilogram,4279624.919923413 kilogram,316349.6834162698 kilogram,0.0 kilogram,13394.347829027127 kilogram,1020.2884765405424 kilogram,11724.99978061209 kilogram,866.7114614144377 kilogram,0.0 kilogram
39824491.720410444 kilogram,109108.1964942752 kilogram,03010205,4278753.95735 acre,1914051.7769172206 kilogram,5746850.052692587 kilogram,33988978.831546225 kilogram,88662.83617163154 kilogram,0.0 kilogram,5243.977471006084 kilogram,15744.794664911196 kilogram,93120.48994944172 kilogram,242.9118799222782 kilogram,0.0 kilogram
28324768.291789215 kilogram,77602.10490901154 kilogram,03020201,1522011.90589 acre,4906326.27335332 kilogram,416469.0567118443 kilogram,27324199.443652466 kilogram,584099.7914249029 kilogram,0.0 kilogram,13441.989790009095 kilogram,1141.0111142790254 kilogram,74860.8203935684 kilogram,1600.2734011641173 kilogram,0.0 kilogram
24442954.394896068 kilogram,66966.998342181 kilogram,03020202,685936.32783 acre,853520.1495864833 kilogram,565385.2489952367 kilogram,23848494.945160028 kilogram,29074.2007408014 kilogram,0.0 kilogram,2338.411368730091 kilogram,1549.0006821787306 kilogram,65338.342315506925 kilogram,79.6553444953463 kilogram,0.0 kilogram
0.0 kilogram,0.0 kilogram,03030001,2141523.00685 acre,0.0 kilogram,0.0 kilogram,0.0 kilogram,0.0 kilogram,0.0 kilogram,0.0 kilogram,0.0 kilogram,0.0 kilogram,0.0 kilogram,0.0 kilogram
23895923.46982835 kilogram,65468.28347898178 kilogram,02040203,1232123.8908 acre,4280547.651076712 kilogram,48816.17733528094 kilogram,23006317.845903784 kilogram,840789.4465892842 kilogram,0.0 kilogram,11727.527811169073 kilogram,133.74295160350943 kilogram,63031.007796996666 kilogram,2303.5327303816007 kilogram,0.0 kilogram
70472473.06276308 kilogram,193075.26866510432 kilogram,02040207,1378478.20906 acre,880265.8017085786 kilogram,1292831.9136131657 kilogram,69051652.2379565 kilogram,127988.9111934217 kilogram,0.0 kilogram,2411.6871279687084 kilogram,3542.0052427757964 kilogram,189182.60887111368 kilogram,350.654551214854 kilogram,0.0 kilogram
5400355.446825378 kilogram,14795.494374864049 kilogram,02040301,1068332.57089 acre,2848441.245602155 kilogram,1021905.3809194107 kilogram,4352301.427213071 kilogram,26148.63869289552 kilogram,0.0 kilogram,7803.948618088096 kilogram,2799.740769642221 kilogram,11924.113499213892 kilogram,71.64010600793294 kilogram,0.0 kilogram
5201712.30903958 kilogram,14251.266600108438 kilogram,02050106,1285202.88246 acre,6332505.401563546 kilogram,134048.24218428202 kilogram,3240991.6798766833 kilogram,1826672.386978615 kilogram,0.0 kilogram,17349.329867297387 kilogram,367.2554580391288 kilogram,8879.429259936118 kilogram,5004.581882133192 kilogram,0.0 kilogram
15959789.14639476 kilogram,43725.449716150026 kilogram,02060002,932508.409697 acre,1586900.9170279896 kilogram,466956.4446868672 kilogram,15217109.64046131 kilogram,275723.06124658126 kilogram,0.0 kilogram,4347.6737452821635 kilogram,1279.332725169499 kilogram,41690.71134372962 kilogram,755.4056472509076 kilogram,0.0 kilogram
1714159.7142572042 kilogram,4696.327984266313 kilogram,02070006,657393.838631 acre,3765315.0694863326 kilogram,259.14143345842064 kilogram,928510.2269529491 kilogram,785390.3458707967 kilogram,0.0 kilogram,10315.93169722283 kilogram,0.7099765300230703 kilogram,2543.8636354875316 kilogram,2151.754372248758 kilogram,0.0 kilogram
18806432.939543124 kilogram,51524.473806967464 kilogram,02080110,1585142.97744 acre,1342200.6528610506 kilogram,2723621.0911366977 kilogram,16005022.62996458 kilogram,77789.21844184739 kilogram,0.0 kilogram,3677.2620626330154 kilogram,7461.975592155336 kilogram,43849.37706839611 kilogram,213.12114641602025 kilogram,0.0 kilogram
1228630.888627882 kilogram,3366.1120236380334 kilogram,02080203,1296175.60433 acre,8334945.505722442 kilogram,13268.740447696358 kilogram,320005.82530886104 kilogram,895356.3228713247 kilogram,0.0 kilogram,22835.467138965592 kilogram,36.352713555332485 kilogram,876.7282885174275 kilogram,2453.031021565273 kilogram,0.0 kilogram
567144.6917986291 kilogram,1553.8210734209017 kilogram,02080204,492353.907027 acre,2918975.0113365836 kilogram,6393.418067549314 kilogram,113328.87280236518 kilogram,447422.40092871466 kilogram,0.0 kilogram,7997.191811881051 kilogram,17.51621388369675 kilogram,310.4900624722334 kilogram,1225.8147970649716 kilogram,0.0 kilogram
3686229.230920698 kilogram,10099.258166906022 kilogram,02080206,920398.718183 acre,3228108.8408325305 kilogram,495745.85629352694 kilogram,3121814.6508291843 kilogram,68668.72379798666 kilogram,0.0 kilogram,8844.133810500083 kilogram,1358.2078254617177 kilogram,8552.916851586806 kilogram,188.1334898574977 kilogram,0.0 kilogram
1871456.5613894975 kilogram,5127.2782503821845 kilogram,03010103,1315371.90332 acre,7740894.9617286185 kilogram,15472.7904039019 kilogram,957900.8700632246 kilogram,898082.900922371 kilogram,0.0 kilogram,21207.931401996215 kilogram,42.3912065860326 kilogram,2624.3859453786977 kilogram,2460.5010984174546 kilogram,0.0 kilogram
1007618.5684484495 kilogram,2760.598817666985 kilogram,03010106,379804.205479 acre,2039561.4727941717 kilogram,34457.05312011199 kilogram,769015.987789405 kilogram,204145.52753893245 kilogram,0.0 kilogram,5587.839651490881 kilogram,94.40288526058079 kilogram,2106.893117231247 kilogram,559.3028151751574 kilogram,0.0 kilogram
1217399.1866184557 kilogram,3335.3402373108374 kilogram,03040104,556078.479894 acre,3308825.304144567 kilogram,45650.845955374956 kilogram,1002666.6000522136 kilogram,169081.740610867 kilogram,0.0 kilogram,9065.274805875526 kilogram,125.07081083664372 kilogram,2747.0317809649687 kilogram,463.2376455092247 kilogram,0.0 kilogram
5894815.581841081 kilogram,16150.179676276935 kilogram,03040206,1059975.38987 acre,1556397.9189002055 kilogram,1409724.8233899348 kilogram,4474231.2445311695 kilogram,10859.51391997764 kilogram,0.0 kilogram,4264.103887397823 kilogram,3862.2597901094105 kilogram,12258.167793236082 kilogram,29.75209293144559 kilogram,0.0 kilogram
1643516.0466832034 kilogram,4502.783689543023 kilogram,03060103,1174044.3309 acre,5859560.017237667 kilogram,78067.13788844437 kilogram,579860.2024345149 kilogram,985588.7063602441 kilogram,0.0 kilogram,16053.589088322375 kilogram,213.88256955738183 kilogram,1588.6580888616845 kilogram,2700.2430311239564 kilogram,0.0 kilogram
7053323.237125033 kilogram,19324.173252397348 kilogram,02080102,738140.495859 acre,2399998.8476779945 kilogram,580170.9379302757 kilogram,6418645.793055716 kilogram,54506.506139041274 kilogram,0.0 kilogram,6575.339308706834 kilogram,1589.5094189870567 kilogram,17585.330939878673 kilogram,149.33289353161993 kilogram,0.0 kilogram
6315120.627645992 kilogram,17301.700349715047 kilogram,02080106,941032.388835 acre,4453443.578786196 kilogram,239095.2480585031 kilogram,5598336.643992134 kilogram,477688.73559535394 kilogram,0.0 kilogram,12201.215284345742 kilogram,655.0554741328851 kilogram,15337.90861367708 kilogram,1308.7362619050793 kilogram,0.0 kilogram
15728777.83841025 kilogram,43092.54202304178 kilogram,02080109,602277.108999 acre,774604.0616063433 kilogram,473121.1019560653 kilogram,15204090.026817348 kilogram,51566.70963683658 kilogram,0.0 kilogram,2122.2029085105296 kilogram,1296.222197139905 kilogram,41655.041169362594 kilogram,141.2786565392783 kilogram,0.0 kilogram
561831.3226292926 kilogram,1539.2638976145004 kilogram,02080202,534576.874302 acre,3665985.0987218916 kilogram,562.4159698246291 kilogram,125014.49205072536 kilogram,436254.41460874263 kilogram,0.0 kilogram,10043.794791018881 kilogram,1.5408656707524084 kilogram,342.5054576732202 kilogram,1195.2175742705278 kilogram,0.0 kilogram
966887.9123387375 kilogram,2649.00797901024 kilogram,02080205,615449.140962 acre,3465150.2641277057 kilogram,75531.97099715559 kilogram,508962.7199474378 kilogram,382393.2213941441 kilogram,0.0 kilogram,9493.562367473167 kilogram,206.93690684152216 kilogram,1394.4184108148982 kilogram,1047.6526613538194 kilogram,0.0 kilogram
1677722.9567801289 kilogram,4596.501251452408 kilogram,02080207,1026278.92264 acre,5734151.000749837 kilogram,141377.76355010903 kilogram,823491.413932756 kilogram,712853.7792972638 kilogram,0.0 kilogram,15710.002741780374 kilogram,387.3363384934494 kilogram,2256.1408600897425 kilogram,1953.024052869216 kilogram,0.0 kilogram
4170496.415268092 kilogram,11426.017576076963 kilogram,03010202,475122.561765 acre,1389326.3521637598 kilogram,269960.40867806505 kilogram,3868715.741637505 kilogram,31820.264952521615 kilogram,0.0 kilogram,3806.3735675719445 kilogram,739.6175580220961 kilogram,10599.221209965768 kilogram,87.17880808910031 kilogram,0.0 kilogram
7833945.54243521 kilogram,21462.864499822495 kilogram,03030002,1092775.66525 acre,4637442.886598573 kilogram,56071.79140014498 kilogram,6925262.188698284 kilogram,852611.5623367806 kilogram,0.0 kilogram,12705.322976982392 kilogram,153.62134630176706 kilogram,18973.321064926808 kilogram,2335.9220885939194 kilogram,0.0 kilogram
3431542.6973969964 kilogram,9401.486842183553 kilogram,03040207,1343994.34166 acre,3039815.8403437445 kilogram,1549487.9421282273 kilogram,1791701.0690484664 kilogram,90353.68622030289 kilogram,0.0 kilogram,8328.26257628423 kilogram,4245.172444186925 kilogram,4908.7700521875795 kilogram,247.544345809049 kilogram,0.0 kilogram
8182829.505958781 kilogram,22418.710975229536 kilogram,03070106,965836.372152 acre,2077699.5119503539 kilogram,1082325.7952590962 kilogram,6897161.04070879 kilogram,203342.66999089537 kilogram,0.0 kilogram,5692.32743000097 kilogram,2965.276151394784 kilogram,18896.331618380245 kilogram,557.1032054545079 kilogram,0.0 kilogram
2854401.6073064916 kilogram,7820.278376182168 kilogram,03070202,499853.054482 acre,903408.98483544 kilogram,468615.18686857296 kilogram,2298655.0371944923 kilogram,87131.38324342642 kilogram,0.0 kilogram,2475.0931091381917 kilogram,1283.87722429746 kilogram,6297.685033409568 kilogram,238.71611847514086 kilogram,0.0 kilogram
2079070.6314718476 kilogram,5696.083921840678 kilogram,03050110,450144.091157 acre,1028001.0362758137 kilogram,296879.1902269791 kilogram,1737755.8800538664 kilogram,44435.56119100213 kilogram,0.0 kilogram,2816.441195276202 kilogram,813.3676444574769 kilogram,4760.97501384621 kilogram,121.74126353699215 kilogram,0.0 kilogram
1299878.392887666 kilogram,3561.31066544566 kilogram,03050201,515869.810658 acre,1217556.539886154 kilogram,621510.3731971845 kilogram,614235.307156258 kilogram,64132.71253422317 kilogram,0.0 kilogram,3335.7713421538465 kilogram,1702.768145745711 kilogram,1682.8364579623508 kilogram,175.7060617375977 kilogram,0.0 kilogram
19088798.94938929 kilogram,52298.07931339531 kilogram,03050208,2167723.07888 acre,4263175.144215472 kilogram,2570167.772301769 kilogram,16372165.25059753 kilogram,146465.9264899913 kilogram,0.0 kilogram,11679.931901960197 kilogram,7041.555540552791 kilogram,44855.24726191104 kilogram,401.276510931483 kilogram,0.0 kilogram
4868688.178771316 kilogram,13338.87172266114 kilogram,03060202,783462.783389 acre,1484161.8580812728 kilogram,831721.7814204935 kilogram,3929148.126494831 kilogram,107818.27085599193 kilogram,0.0 kilogram,4066.196871455542 kilogram,2278.689812110941 kilogram,10764.78938765707 kilogram,295.39252289312856 kilogram,0.0 kilogram
2545728.2054847283 kilogram,6974.597823245831 kilogram,03070103,1913805.10578 acre,7913973.785714287 kilogram,242086.2708102112 kilogram,1259890.0251003567 kilogram,1043751.9095741606 kilogram,0.0 kilogram,21682.119960861062 kilogram,663.2500570142772 kilogram,3451.7534934256346 kilogram,2859.5942728059194 kilogram,0.0 kilogram
9052626.769541418 kilogram,24801.717176825805 kilogram,03070107,859853.029093 acre,2707398.404053437 kilogram,494279.85953460005 kilogram,8293347.059051098 kilogram,264999.8509557198 kilogram,0.0 kilogram,7417.529874119005 kilogram,1354.1913959852056 kilogram,22721.498791920818 kilogram,726.0269889197804 kilogram,0.0 kilogram
8134898.515359576 kilogram,22287.39319276596 kilogram,03070201,1686047.54876 acre,3909451.0343170194 kilogram,1439502.6809138474 kilogram,6343763.288082101 kilogram,351632.546363627 kilogram,0.0 kilogram,10710.824751553479 kilogram,3943.842961407801 kilogram,17380.173392005756 kilogram,963.3768393524027 kilogram,0.0 kilogram
1408041.3847696064 kilogram,3857.647629505771 kilogram,03070203,1078172.84227 acre,2041967.9212422145 kilogram,1366428.2973770313 kilogram,23537.518835654166 kilogram,18075.568556920814 kilogram,0.0 kilogram,5594.432660937574 kilogram,3743.6391708959763 kilogram,64.48635297439498 kilogram,49.52210563539949 kilogram,0.0 kilogram
24805660.860198595 kilogram,67960.7146854756 kilogram,03080102,1819153.85347 acre,4864481.6452267645 kilogram,1210188.4666728403 kilogram,22685580.96251042 kilogram,909891.4310153363 kilogram,0.0 kilogram,13327.346973224012 kilogram,3315.5848401995627 kilogram,62152.276609617584 kilogram,2492.8532356584556 kilogram,0.0 kilogram
11530889.774876442 kilogram,31591.47883527792 kilogram,03080103,1934664.78825 acre,4482624.47177491 kilogram,1508566.8115899991 kilogram,9739502.870197456 kilogram,282820.09308898717 kilogram,0.0 kilogram,12281.162936369616 kilogram,4133.059757780819 kilogram,26683.56950739029 kilogram,774.8495701068142 kilogram,0.0 kilogram
9982711.279744035 kilogram,27349.893917106943 kilogram,03030005,1146367.54969 acre,2163489.7278760364 kilogram,1161349.2903034275 kilogram,8804666.022739792 kilogram,16695.966700813922 kilogram,0.0 kilogram,5927.369117468593 kilogram,3181.778877543637 kilogram,24122.372665040526 kilogram,45.74237452277787 kilogram,0.0 kilogram
4098361.719284773 kilogram,11228.388272013077 kilogram,03050202,1688551.88924 acre,3176482.7046036613 kilogram,2148489.6709240065 kilogram,1753460.550534087 kilogram,196411.49782667978 kilogram,0.0 kilogram,8702.692341379894 kilogram,5886.273071024675 kilogram,4804.001508312567 kilogram,538.1136926758351 kilogram,0.0 kilogram
6811100.143626115 kilogram,18660.548338701687 kilogram,03050207,657715.514972 acre,1413148.7788528495 kilogram,775154.762225306 kilogram,5952514.894898606 kilogram,83430.48650220312 kilogram,0.0 kilogram,3871.640490007807 kilogram,2123.7116773296057 kilogram,16308.259986023579 kilogram,228.57667534850168 kilogram,0.0 kilogram
1259400.8394005597 kilogram,3450.4132586316705 kilogram,03060104,966712.873489 acre,4475557.228999362 kilogram,109136.68319515904 kilogram,164369.34578401654 kilogram,985894.8104213839 kilogram,0.0 kilogram,12261.800627395512 kilogram,299.0046114935864 kilogram,450.32697475073024 kilogram,2701.081672387353 kilogram,0.0 kilogram
64778223.854159124 kilogram,177474.5859018058 kilogram,01010004,1537553.22097 acre,9280796.131171295 kilogram,665841.2981230145 kilogram,64026683.43419465 kilogram,85699.1218414582 kilogram,0.0 kilogram,25426.838715537797 kilogram,1824.2227345836013 kilogram,175415.5710525881 kilogram,234.79211463413205 kilogram,0.0 kilogram
2747757.1221925835 kilogram,7528.101704637215 kilogram,01060003,1658076.44673 acre,7258028.546489379 kilogram,939970.1578851097 kilogram,1294992.7772547717 kilogram,512794.1870527021 kilogram,0.0 kilogram,19885.00971640926 kilogram,2575.260706534547 kilogram,3547.925417136361 kilogram,1404.9155809663073 kilogram,0.0 kilogram
722639.9994051699 kilogram,1979.8356148086846 kilogram,01070003,488998.210842 acre,3435163.4975208286 kilogram,131221.46576809383 kilogram,498102.37732291705 kilogram,93316.15631415906 kilogram,0.0 kilogram,9411.406842522818 kilogram,359.5108651180653 kilogram,1364.6640474600467 kilogram,255.66070223057275 kilogram,0.0 kilogram
2377666.6819199 kilogram,6514.155292931232 kilogram,01070006,1151087.99775 acre,5762210.485929488 kilogram,356870.2793358162 kilogram,1721764.1638278358 kilogram,299032.2387562476 kilogram,0.0 kilogram,15786.878043642433 kilogram,977.7267927008663 kilogram,4717.162092679002 kilogram,819.2664075513634 kilogram,0.0 kilogram
773212.2439551128 kilogram,2118.3897094660624 kilogram,01080106,845792.303549 acre,6198804.869748434 kilogram,83756.26376352749 kilogram,399334.19131661166 kilogram,290121.78887497354 kilogram,0.0 kilogram,16983.02704040667 kilogram,229.46921579048626 kilogram,1094.066277579758 kilogram,794.854216095818 kilogram,0.0 kilogram
1800289.417370997 kilogram,4932.299773619169 kilogram,01080204,462547.229781 acre,2821505.898528156 kilogram,175753.63451731918 kilogram,1470089.9670550714 kilogram,154445.81579860635 kilogram,0.0 kilogram,7730.153146652482 kilogram,481.5168068967649 kilogram,4027.64374535636 kilogram,423.1392213660448 kilogram,0.0 kilogram
2762780.2090347083 kilogram,7569.260846670434 kilogram,01090001,1791861.72835 acre,4606421.617617736 kilogram,901133.9980596778 kilogram,1598255.101028431 kilogram,263391.1099465999 kilogram,0.0 kilogram,12620.3331989527 kilogram,2468.8602686566514 kilogram,4378.78109870803 kilogram,721.6194793057532 kilogram,0.0 kilogram
5871778.491158631 kilogram,16087.064359338714 kilogram,01090004,1291391.88714 acre,3999367.9305287125 kilogram,612546.5774997533 kilogram,4951490.40903672 kilogram,307741.50462215784 kilogram,0.0 kilogram,10957.172412407432 kilogram,1678.2098013691873 kilogram,13565.72714804581 kilogram,843.12740992372 kilogram,0.0 kilogram
5513536.945805815 kilogram,15105.580673440589 kilogram,01090005,553549.696371 acre,2505299.588861191 kilogram,293198.79835517606 kilogram,5042571.733448252 kilogram,177766.41400238717 kilogram,0.0 kilogram,6863.834490030661 kilogram,803.2843790552769 kilogram,13815.265023145896 kilogram,487.0312712394169 kilogram,0.0 kilogram
1439807.3736610569 kilogram,3944.67773605769 kilogram,01100001,469551.543106 acre,2517347.432427845 kilogram,232372.56782500536 kilogram,1021110.4828407066 kilogram,186324.32299534488 kilogram,0.0 kilogram,6896.842280624232 kilogram,636.6371721233023 kilogram,2797.562966686867 kilogram,510.4775972475202 kilogram,0.0 kilogram
787800.5739288556 kilogram,2158.3577367913854 kilogram,01100003,285007.767375 acre,1421901.191458002 kilogram,105734.10447070107 kilogram,588527.4153292848 kilogram,93539.05412886971 kilogram,0.0 kilogram,3895.6197026246628 kilogram,289.68247800192074 kilogram,1612.4038776144791 kilogram,256.2713811749855 kilogram,0.0 kilogram
262573.5735249522 kilogram,719.3796534930198 kilogram,02020001,1063842.91632 acre,8801821.756621458 kilogram,168418.25368725433 kilogram,86157.88171398645 kilogram,7997.438123711423 kilogram,0.0 kilogram,24114.58015512728 kilogram,461.41987311576526 kilogram,236.04899099722317 kilogram,21.910789380031297 kilogram,0.0 kilogram
262831.7273829984 kilogram,720.0869243369818 kilogram,02020002,673251.423151 acre,5438432.82962081 kilogram,130781.39173858745 kilogram,105904.15479210143 kilogram,26146.180852309517 kilogram,0.0 kilogram,14899.815971563863 kilogram,358.3051828454451 kilogram,290.1483692934286 kilogram,71.63337219810826 kilogram,0.0 kilogram
7600187.256276328 kilogram,20822.43083911323 kilogram,02020003,1218402.27028 acre,6086892.197427989 kilogram,313552.05357261555 kilogram,6376737.143068881 kilogram,909898.0596348319 kilogram,0.0 kilogram,16676.416979254765 kilogram,859.046722116755 kilogram,17470.51272073666 kilogram,2492.871396259813 kilogram,0.0 kilogram
37195375.62775594 kilogram,101905.13870618066 kilogram,01010005,405714.149468 acre,2014145.4356794143 kilogram,237729.73036485713 kilogram,36912114.85881547 kilogram,45531.03857561203 kilogram,0.0 kilogram,5518.206673094286 kilogram,651.3143297667318 kilogram,101129.08180497389 kilogram,124.74257144003296 kilogram,0.0 kilogram
2873869.0896785385 kilogram,7873.613944324763 kilogram,01030003,2210173.47945 acre,13826381.05147927 kilogram,778257.3659413663 kilogram,1265357.5261749374 kilogram,830254.1975622351 kilogram,0.0 kilogram,37880.49603145006 kilogram,2132.2119614831954 kilogram,3466.732948424486 kilogram,2274.6690344170825 kilogram,0.0 kilogram
325002.4226917316 kilogram,890.417596415703 kilogram,01070002,310956.528068 acre,2085720.890131531 kilogram,59424.25929413013 kilogram,214476.76747083836 kilogram,51101.3959267631 kilogram,0.0 kilogram,5714.303808579537 kilogram,162.80618984693186 kilogram,587.6075821118859 kilogram,140.0038244568852 kilogram,0.0 kilogram
1351728.1053681455 kilogram,3703.3646722414946 kilogram,01070004,341959.021496 acre,1798025.442872613 kilogram,114219.75616187524 kilogram,1115899.5709992961 kilogram,121608.7782069741 kilogram,0.0 kilogram,4926.097103760583 kilogram,312.9308387996582 kilogram,3057.2590986282084 kilogram,333.17473481362765 kilogram,0.0 kilogram
558353.5634868242 kilogram,1529.7357903748607 kilogram,01070005,256194.850769 acre,838830.52384151 kilogram,125071.51968594175 kilogram,376259.038531436 kilogram,57023.00526944642 kilogram,0.0 kilogram,2298.165818743863 kilogram,342.66169776970344 kilogram,1030.846680908044 kilogram,156.22741169711347 kilogram,0.0 kilogram
709296.2094099818 kilogram,1943.2772860547448 kilogram,01080101,914398.242187 acre,6888968.130680107 kilogram,145607.13885831484 kilogram,441461.574463619 kilogram,122227.49608804805 kilogram,0.0 kilogram,18873.885289534537 kilogram,398.92366810497214 kilogram,1209.4837656537507 kilogram,334.86985229602203 kilogram,0.0 kilogram
587112.8816519435 kilogram,1608.528442882037 kilogram,01080103,593875.418186 acre,4302615.793567049 kilogram,64623.14140760148 kilogram,338805.80957785435 kilogram,183683.9306664877 kilogram,0.0 kilogram,11787.988475526163 kilogram,177.04970248657938 kilogram,928.2350947338475 kilogram,503.2436456616101 kilogram,0.0 kilogram
6582498.627433671 kilogram,18034.24281488677 kilogram,01080201,651485.674478 acre,4179547.8976651723 kilogram,141325.32935197634 kilogram,6271549.1484205695 kilogram,169624.14966112483 kilogram,0.0 kilogram,11450.816157986774 kilogram,387.1926831560996 kilogram,17182.326434028957 kilogram,464.72369770171184 kilogram,0.0 kilogram
530356.3341022779 kilogram,1453.0310523350079 kilogram,01080202,249031.289895 acre,1675963.0644176966 kilogram,91031.8386370071 kilogram,407180.86250133737 kilogram,32143.632963933444 kilogram,0.0 kilogram,4591.679628541634 kilogram,249.40229763563588 kilogram,1115.564006852979 kilogram,88.06474784639299 kilogram,0.0 kilogram
684337.5289901927 kilogram,1874.897339699158 kilogram,01100004,542822.507823 acre,2191337.9266566155 kilogram,147373.20872611922 kilogram,444959.64732127887 kilogram,92004.6729427946 kilogram,0.0 kilogram,6003.665552483878 kilogram,403.76221568799787 kilogram,1219.0675269076132 kilogram,252.06759710354683 kilogram,0.0 kilogram
7185868.135041828 kilogram,19687.30995901871 kilogram,02020006,1553527.62129 acre,8341163.781538873 kilogram,319665.04091929854 kilogram,5785566.640423596 kilogram,1080636.4536989343 kilogram,0.0 kilogram,22852.503511065406 kilogram,875.7946326556124 kilogram,15850.867508009851 kilogram,2960.6478183532445 kilogram,0.0 kilogram
568682.4611200365 kilogram,1558.0341400548946 kilogram,02030101,465130.318374 acre,2268716.3462436004 kilogram,81477.98331322873 kilogram,402890.3804996535 kilogram,84314.09730715431 kilogram,0.0 kilogram,6215.661222585207 kilogram,223.22735154309242 kilogram,1103.8092616428864 kilogram,230.9975268689159 kilogram,0.0 kilogram
1023169.6359176186 kilogram,2803.2044819660787 kilogram,02030104,808009.757422 acre,828522.548328504 kilogram,252618.46531130196 kilogram,744326.2467505231 kilogram,26224.92385579354 kilogram,0.0 kilogram,2269.9247899411066 kilogram,692.1053844145259 kilogram,2039.2499910973236 kilogram,71.84910645422887 kilogram,0.0 kilogram
20182363.215974342 kilogram,55294.14579718998 kilogram,01010003,571073.252914 acre,3592525.257936267 kilogram,211647.99292310144 kilogram,19928229.765375663 kilogram,42485.45767557537 kilogram,0.0 kilogram,9842.534953250048 kilogram,579.8575148578121 kilogram,54597.8897681525 kilogram,116.39851417965856 kilogram,0.0 kilogram
1342679.902772639 kilogram,3678.5750760894216 kilogram,01040002,1308429.03148 acre,8889319.65957723 kilogram,292929.4701349618 kilogram,689489.5723480856 kilogram,360260.8602895916 kilogram,0.0 kilogram,24354.30043719789 kilogram,802.5464935204434 kilogram,1889.0125269810565 kilogram,987.0160555879222 kilogram,0.0 kilogram
1748583.4618974715 kilogram,4790.6396216369085 kilogram,01050003,1122788.13198 acre,5731445.147472339 kilogram,633234.3530651156 kilogram,850918.0919987763 kilogram,264431.01683357975 kilogram,0.0 kilogram,15702.589445129695 kilogram,1734.8886385345634 kilogram,2331.2824438322637 kilogram,724.4685392700815 kilogram,0.0 kilogram
1862221.4178780424 kilogram,5101.976487337102 kilogram,01060001,1107081.98138 acre,5384430.175460532 kilogram,468401.8283333633 kilogram,1000573.3942548881 kilogram,393246.1952897911 kilogram,0.0 kilogram,14751.863494412417 kilogram,1283.2926803653788 kilogram,2741.2969705613373 kilogram,1077.3868364103866 kilogram,0.0 kilogram
592765.0808630197 kilogram,1624.0139201726568 kilogram,01070001,654442.715976 acre,5260590.7630720055 kilogram,52483.02509471163 kilogram,481094.60070853744 kilogram,59187.45505977067 kilogram,0.0 kilogram,14412.577433073988 kilogram,143.78910984852502 kilogram,1318.0673992014724 kilogram,162.15741112265937 kilogram,0.0 kilogram
7202583.816520172 kilogram,19733.106346630608 kilogram,01080205,694311.276006 acre,2847826.174806247 kilogram,196934.7373856381 kilogram,6781147.694518261 kilogram,224501.38461627322 kilogram,0.0 kilogram,7802.263492619855 kilogram,539.547225714077 kilogram,18578.486834296604 kilogram,615.0722866199267 kilogram,0.0 kilogram
95035.06900462932 kilogram,260.37005206747756 kilogram,11020003,593522.106009 acre,1784912.873092767 kilogram,41683.96388227772 kilogram,39651.80690353496 kilogram,13699.298218816635 kilogram,0.0 kilogram,4890.172255048677 kilogram,114.20264077336361 kilogram,108.6350874069451 kilogram,37.532323887168864 kilogram,0.0 kilogram
2937709.257087444 kilogram,8048.518512568339 kilogram,10150006,1095426.43718 acre,65042.90029662987 kilogram,141696.8135204973 kilogram,2329606.5094949594 kilogram,466405.9340719876 kilogram,0.0 kilogram,178.19972684008184 kilogram,388.21044800136247 kilogram,6382.4835876574225 kilogram,1277.824476909555 kilogram,0.0 kilogram
